,question,answer
26,民眾在本市路邊收費停車格停車忘記繳費如何繳費,"1.可至本府交通處全球資訊網（http://hispark.hccg.gov.tw）繳費期限或催繳期限內可至網站列印繳費條碼至超商繳費。
2.至網站登錄E-mail，於繳費期限前兩天主動通知未繳停車費訊息，方便民眾繳費。
3.本府辦理兩次催繳，第一次以平信寄至通信住居所地址，若未設定通信住居所地址則以車籍地址寄送。第二次以雙掛號寄至通信住居所地址，若未設定通信住居所地址則以戶籍地址寄送，並加收工本費50元，完成催繳行政程序，民眾收到至超商繳納停車費。
4.本府交通處停車管理科辦公室(新竹市府後街45號)開放單一窗口繳納停車費，週一至週五每日上午八時至晚上五時止。催繳停車費後逾期仍未繳，即移轉罰鍰處分，並追繳停車費，敬請台端能早日結案。"
27,停車管理-若地址遷移無法收到催繳通知單該怎麼辦？ ,現行違規通知單寄送係依據車主或駕駛人向車駕籍所在地監理機關登錄於公路監理系統之住居所或就業處所地址優先寄送，倘有異動請逕向監理單位辦理地址變更。
28,堆高機是否可行駛於道路上?臨時通行證如何申請?,依道路交通安全規則第83條之1第1項第1款規定，動力機械向公路監理機關申請登記領用牌證係以裝有輪胎且方向盤在左側及確實無法使用車輛載運者為限，故可用車輛載運及方向盤在中央之堆高機等類似機械，依規定並無法領用牌證及臨時通行證，自始當不得行駛於道路。
29,交通號誌-行車倒數計時器」為何只採紅燈倒數，而不採綠燈倒數？,本市不採行綠燈倒數號誌之方式進行倒數之主要原因為擔心駕駛者因瞭解所剩餘綠燈時間不多時，反而加速通過，造成搶燈問題影響行車安全。
30,交通號誌-本市轄內「行車倒數計時號誌」為何只採紅燈倒數，而不採綠燈倒數？,本市不採行綠燈倒數號誌之方式進行倒數之主要原因為擔心駕駛者因瞭解所剩餘綠燈時間不多時，反而加速通過，造成搶燈問題影響行車安全。
31,停車管理-路外停車場月租停車繳費便民措施。,民眾辦理路外停車場月租停車，第一次需至本府交通處停車管理科辦公室辦理，繳交申請所需文件：行照、戶口名簿、身分證等影本，以供審查，第二次起每月20日～30(或31日)在各停車場管理室繳交次月月租停車費用，方便民眾繳費便民措施。
32,請問新竹市哪裡可以飛無人機?,"相對地面或水面高度400呎（約120公尺）以下，在非屬公告禁止或限制之區域（紅區），符合操作限制規定條件下，任何人均可飛行。
109.3.31起詳細公告資料都會放置於新竹市政府首頁>公告資訊>訊息公告>一般公告。
禁止或限制之圖資請至交通部民用航空局遙控無人機管理資訊系統(https://drone.caa.gov.tw)查詢。"
33,申辦無人機所有業務及查詢。,"舉凡註冊、檢驗、申請操作證考試、禁止空域查詢、排除操作限制能力審查及申請飛行禁止空域、飛航安全通報均可至交通部民用航空局遙控無人機管理資訊系統(https://drone.caa.gov.tw)進行作業，以簡化相關行政作業程序。
系統操作問題在網頁上都有客服電話提供諮詢服務（0809086507、02-77352807)。"
34,民眾通報檢舉無人機違規或有關無人機飛航區規劃建議事項。,"依據行政程序法第173條規定，人民陳情無具體之內容或未具真實姓名或住址者，得不予處理。
反映案件應提供真實姓名及聯絡方式(電話、地址或電子郵件)，如冒用他人資料或提供不實資料而引發之法律責任，當事人應負全責。
涉及民事、刑事項目，請改撥110報案中心直接服務。
因應網路時代之便利性及推廣電子化政府，以節省資源並提升為民服務之效率，本府「民意信箱」可讓民眾透過網站(網址為https://1999.hccg.gov.tw)反映市政問題，相較電話立案因複誦案件內容及回撥確認個資等流程更能節省民眾寶貴時間，歡迎民眾多加利用。
無人機違規飛行案件，比照本市交通違規檢舉案件作業流程方式辦理：                                 (1)檢舉人應檢具真實姓名、通訊地址、聯絡電話。(如有違規事實不明確時，需協助查證說明)。                                                                                                                                                   (2)所提供之影片或照片應有日期及時間顯示，並確保拍攝日期、時間正確無訛。                  (3)務請詳載違規行為發生之地點。"
35,無人機在公告禁止或限制之區域（紅區）可以申請飛行嗎?,"屬於公告禁止或限制之區域及欲排除操作限制規定，僅限政府機關(構)、學校或法人可申請，一般自然人（玩家）無法申請。
申請禁止或限制區域、飛航排除操作限制活動申請共分3階段，請至交通部民用航空局遙控無人機管理資訊系統(https://drone.caa.gov.tw)進行線上申請。"
36,YouBike是否提供團體租借服務?,為提供每位民眾公平租借YouBike的機會，因此YouBike不提供團體租借服務。
37,費率及收費問題 - 會員使用費率問題,會員使用費率為4小時内每30分鐘10元，4小時至8小時內每30分鐘20元，超過8小時以上每30分鐘40元。相關費率如有變動，以微笑單車官方網站公告之費率為準。
38,請問哪裡有國道客運可以搭車。,您若在市區、台鐵新竹站附近，則可於新竹轉運站(經由前後站地下道前往)搭乘新竹、豪泰、台中、三重、亞聯、國光、首都、阿羅哈等客運。若您是在光復路清大附近，則可至清大校門旁之光復路上國道客運停靠區搭車。
39,常見問題詢問彙整 - 我可以使用YouBike長途騎乘或是進行競技比賽嗎?,YouBike主要設置目的為短程接駁，故車輛設計著重於都市內道路使用，感謝您對YouBike的厚愛，但為了您自身安全，建議您切勿冒險嘗試山路或長程騎乘。
40,台灣票據交換所合作金融機構,台灣票據交換所合作之金融機構包括臺灣銀行、土地銀行、台新銀行、合作金庫銀行、第一銀行、各地農漁會、信用合作社等109家(詳附件)。
41,費率及收費問題 - 單次租車使用費率問題,"單次租車使用費率為騎乘2小時內每30分鐘10元；2小時至4小時內每30分鐘20元；逾4小時後，每30分鐘40元。(相關費率如有變動，以微笑單車官方網站公告之費率為準)。
註1：使用信用卡進行租車時，系統將會從其帳戶(信用卡為開卡銀行)進行交易預授權2000元，若消費者遵守本服務使用行為，授權期限(5天)到期後，系統將自動取消本次授權，並依據本次實際交易金額由各家銀行進行請款作業。消費者於當月信用卡帳單內將出現該次交易資料，如有任何問題，歡迎撥打YouBike客服專線(付費)洽詢。"
42,申辦問題 - 如何註冊YouBike會員,"您的電子票證須透過註冊程序，使電子票證具有會員資格，即可在各場站利用此電子票證租借自行車。
若您是使用單次租借，只需以信用卡至租賃站的Kiosk進行授權即可，詳情請參照官網。"
43,舉辦活動占用道路申請路權方式？,"一、依據「新竹市舉辦大型活動使用道路管理辦法」第3條規定本辦法適用於有封閉道路行為時申請活動佔用道路，未有封閉道路行為不適用本辦法規定。
二、另依道路交通安全規則第137及142條規定，如非上述封閉道路行為，屬一般集會或聚眾等需結隊成行通行行為，請向本市警察局申請許可核准。"
44,停車場登記證申請申請方式?,請參閱交通處網站並填寫相關表單(詳交通處網站http://dep-traffic.hccg.gov.tw/web/SelfPageSetup?pageID=23712&FP=41187)及檢附表單上文件 洽詢電話:5216121分機484
45,停車管理-自99年4月1日起實施推動之身心障礙者優惠停車3小時措施如何停車？ ,身心障礙優惠停車3小時，超過3小時需依使用者付費實施收費。另身心障礙專用停車識別證上無車號或辨識不清，本府開立停車繳費單，應於15日內至本府交通處停車管理科辦公室(新竹市府後街45號)，持三證(身心障礙手冊.駕駛執照.行車執照)及身障者於現場辦理核銷。上開優惠停車措施為同路段超過優惠時段即依停車場收費費率逕行收費。
46,停車管理-路邊停車格如何規劃？,道路主要功能係提供人、車通行為主，其路邊停車位之設置，乃係因應路外停車供給不足之權宜措施。故路邊停車位之規劃，需考量道路路況、寬度、服務水準、地區停車供需等交通特性及救災、救護公共安全因素等，於非屬禁止停車之路段，係依道路交通標誌標線號誌設置規則及本市巷弄道路停車管理自治條例規定設置。
47,停車管理-請問欲申請借用停車格施工時，應於多久前辦理申請？,施工單位應於施工日前十五日向本府交通處提出申請，經審查核准後，始得於核定之施工範圍內施工。有關借用停車格之停車費，將依該路段費率繳納停車費。
48,停車管理-請問民眾辦理婚喪喜慶，已向路權單位申請佔用道路，是否還要申請借用停車格?是否需要付費？,辦理婚喪喜慶時，如需佔用路邊停車格，亦需向本府交通處停車管理科申請借停車格，並依該路段費率繳納停車費。
49,停車管理-申請利用空地設置臨時路外停車場要檢附哪些證件？,"1.新竹市利用空地設置臨時路外停車場申請表。（申請表可於本府為民服務措施中下載）
2.土地權利證明文件。
3.土地使用分區證明文件。
4.建築線指示（定）圖。
5.地籍圖騰本（應將基地範圍標示）。
6.申請人身分證明文件（如為法人應檢附登記文件）。
7.停車場設置計畫書。"
50,納稅義務人對本局所為復查決定不服，應如何救濟？ ,"（一）納稅義務人對於復查決定之稅額或罰鍰金額仍有不服，應在收受該決定書之次日起30日內(以受理訴願機關實際「收受」訴願書之日期為準，而非「投郵日」)繕具訴願書向本局或新竹市政府提起訴願。
（二）舉例言之納稅義務人於112年1月31日收受復查決定書，如對該決定內容不服，應在收受該決定書之次日（2月1日）起算30日（3月2日）內提起訴願。"
51,稅捐稽徵-我對於核定的稅額或罰鍰不服，應於什麼時候申請復查?,"納稅義務人對於核定稅額或罰鍰如有不服而想要申請復查時，可以敘明復查理由，連同稅單及其他證明文件，按照核定通知書有無應納或應補稅額，分別在下列期限前辦理：
1. 核定稅額通知書所載有應納稅額或應補繳稅額者，應於繳款書送達後，於繳納期間屆滿之翌日起30日內，申請復查。
2. 核定稅額通知書所載無應納稅額或應補繳稅額者，應於核定稅額通知書送達之翌日起30日內，申請復查。
3. 納稅義務人為公同共有人者，應於核定稅額通知書或公告所載應納稅額或應補徵稅額繳納期間屆滿之翌日起30日內，申請復查。
4. 依稅捐稽徵法第19條第4項規定以公告代替核定稅額通知書之填具及送達者，應於公告之翌日起30日內，申請復查。
5. 復查之申請，以稅捐稽徵機關收受復查申請書之日期為準。但交由郵務機構寄發復查申請書者，以郵寄地郵戳所載日期為準。"
52,青青草原大型遊覽車應停放於何處?,青青草原礙於入口處迴車空間有限，爰請大客車停放於大坪頂停車場，造成不便尚請諒察，另將於特殊節日或辦理活動期間提供相關接駁作業。
53,村里民政-里長可否開立清寒證明?,"內政部106年函釋，村（里）長核發證明事項有5項(如下)，清寒證明非里長需核發證明事項。
1.擁有農機證明書
2.意識清楚之重大疾病患者或不能行走者證明
3.住屋災害證明
4.土地總登記登記名義人資格證明
5.實際從事漁業證明"
54,調解行政-請問如何聲請鄉鎮市(區)調解？,"1、聲請調解，由當事人以書面(應表明調解事由及爭議情形)向調解委員會提出，並按他造人數提出繕本。
2、如以言詞提出聲請者，由調解委員會製作筆錄。
3、得調解事件已經在第一審法院辯論終結者，不得聲請調解。
4、本市調解委員會均依行政區域分設在各區公所當中，有需要民眾請逕洽東區調解會5218231#206北區調解會5152525#212香山區調解會5307105#260"
55,村里民政- 如何取得行政區域圖?,本市行政區域圖為96年內政部統一編印之「國家各級行政區域圖工作計畫」，故所編印之雙語行政區域圖以提供各縣市內轄區政府機關、學校、圖書館、交通事業單位及旅遊管理單位使用為優先。故依上述規定無法提供市民索取。
56,調解行政-請問發生車禍找不到肇事者，該向誰提出理賠申請？,"一、車禍發生時，請求權人如果因為下列原因之一，沒辦法向保險人請求保險給付時，可以向財團法人汽車交通事故特別補償基金請求補償：
1、事故汽車無法查究(肇事逃逸)。
2、事故汽車為未保險汽車。
3、事故汽車係未經被保險人同意使用或管理之被保險汽車。(如失竊車)。
4、事故汽車為無須訂立強制車險契約之汽車。(如農用車、拼裝車等)。
二、詳細情形請逕洽財團法人汽車交通事故特別補償基金，電話：0800-565678，地址：台北市110信義路五段150巷2號18樓。"
57,村里民政-請問里長由誰來指揮監督?里長如果未能積極任事，有失職情形，該向哪個單位反映?,依地方制度法第59條之規定，村 (里) 長受鄉 (鎮、市、區)長之指揮監督，辦理村 (里) 公務及交辦事項。故如里長未能積極任事，有失職情形，請就具體事實向區公所反映。
58,村里民政-里長因長期罹患重病不能任事時，可以解除其職務嗎?,依地方制度法第80條規定，村（里）長因罹患重病，致不能執行職務繼續1年以上，或因故不執行職務連續達6個月以上者，由鄉 (鎮、市、區)公所解除其職務。
59,村里民政-里長有年終工作獎金、退職金嗎？。,"依據地方民意代表費用支給及村里長事務補助費補助條例第七條規定，里長由區公所編列里長事務補助費，每里每月新臺幣50,000元，前項事務補助費，係指文具費、郵電費、水電費及其他因公支出之費用。第8條規定，地方民意代表費用之支給及村里長事務補助費之補助項目及標準，依本條例之規定；本條例未規定者，不得編列預算支付。因此里長年終工作獎金、退職金依規定不得編列。"
60,調解行政-請問有那個單位可以免費幫忙打官司？,"1、財團法人法律扶助基金會針對經濟弱勢族群，而且案件有道理者，將請律師免費義務提供訴訟服務(包括打官司)，符合條件的人可向該會各分會提出申請。
2、新竹分會服務時間：週一至週五上午09:00~12:00；下午02:00~05:00
3、詳細情形請逕洽財團法人法律扶助基金會新竹分會，電話：525-9882，地址：新竹縣竹北市縣政二路105號"
61,村里民政-里長有否支領薪水?,依「地方制度法」第61條第3項之規定，村（里）長為無給職，由鄉（鎮、市、區）公所編列村（里）長事務補助費。其所支領之「村（里）長事務補助費」性質上為處理里事務之公款，與薪水不同，故里長並無支領薪水。
62,村里民政-里長任期?,依地方制度法第59條，里長由里民依法選舉之，任期4年，連選得連任，無任期限制。
63,村里民政-里長可以有職業或副業嗎?,里長為民選公職人員，非政府機關之公務員或民意代表，為無給職，故可以有職業或副業。
64,調解行政-請問新竹市免費法律諮詢的時間、聯絡電話？,"1.新竹市政府免費法律諮詢服務
預約電話: 03-5216121*232、234或394
電話預約時間：上班日每週一至週五上午8-12時，下午1-5時以電話或至民政處辦公室預約當週及下週任一服務場次，每場次限額10位，額滿為止。每人每週限預約一場次。本表排定律師僅供參考，實際服務律師仍依現場為主。
服務時間: 週一、週三、週五下午2:00-4:00。
服務地點: 本府一樓服務中心，新竹市中正路120號。
服務方式: 親自面談。不提供電話諮詢，不代寫訴狀。

2.法律扶助基金會新竹分會 諮詢地點：新竹市竹蓮街6號1樓(身心障礙福利服務中心)
服務時間: 週二、四下午2: 00-4: 00            
登記時間: 週二、四下午1: 00起每次接受民眾諮詢服務限12位。

3.三區區公所視訊諮詢服務

 (1)視訊法律諮詢服務服務申請方式:採現場抽號,由法律扶助基金會提供視訊服務    
服務地點及時間: 
東區區公所(民族路40號2樓),星期三下午2:00-4:30
北區區公所(國華街69號3樓),星期三下午2:00-4:30
香山區公所(育德街188號3樓),星期二下午2:00-4:30       

(2)訴訟程序視訊諮詢服務服務申請方式:採現場抽號或電話預約,由新竹地方法院訴訟輔導科提供視訊服務
服務時間:上班日上午9:00-11:30、下午2:00-4:30
地址及預約電話:
東區區公所(民族路40號2樓),03-5218231轉205、206
北區區公所(國華街69號3樓),03-5152525轉212
香山區公所(育德街188號3樓),03-5307105轉260、201"
65,調解行政-請問那類事件可以聲請鄉鎮市(區)調解？,"1、民事事件。
2、告訴乃論的刑事事件。所謂告訴乃論是指此類犯罪，非經有告訴人合法告訴，檢察官不得提起公訴，法官不能判罪，法律上均以「本章或第○條或○○之罪，須告訴乃論」明定之。
3、本市調解委員會均依行政區域分設在各區公所當中，有需要民眾請逕洽東區調解會5218231#206北區調解會5152525#212香山區調解會5307105#260"
66,村里民政-如何連絡各區里集會所(市民活動中心)管理單位?,"1、市民活動中心係由各區公所民政課管理。
2、東區區公所電話5218231轉207、北區區公所電話5152525轉 211、香山區公所電話5307105轉205。"
67,調解行政-請問新竹市各區調解委員會的辦公處所？,"1、新竹市各區調解委員會辦公處設於各該區公所。
2、東區調解委員會：地址：新竹市民族路40號。
電話：5218231轉206。
北區調解委員會：地址：新竹市國華街69號4樓。
電話：5152525轉212。
香山區調解委員：地址：新竹市育德街188號3樓。
電話：5307105轉260。"
68,本市有提供手語翻譯服務?,本市提供聽語障礙者或合併聽、語障之多重障礙者及其家屬、公共服務或事業單位、社會福利機關(構)團體之手語翻譯，服務內容以就醫、教育訓練、福利活動、警政、司法等不涉及私人商業利益公共事務為原則。服務申請以服務日前十個工作天，填具「申請表」並檢附相關文件提出申請。免付費專線：0800-365-330、LINE(諮詢)ID: hccg0800365330。
69,申請建物第一次測量之規費如何計收？,土地複丈費及建築改良物測量費收費標準
70,新竹市身心障礙者日間照顧及住宿式照顧費用補助對象及申請方式？,"一、補助對象

設籍並實際居住本市，或經本府轉介至其他縣市機構接受照顧服務之領有身心障礙證明，且符合下列各項規定者：
（一）最近一年居住國內超過一百八十三日者。
（二）家庭總收入符合補助標準者。
（三）未接受政府其他相同性質服務或補助者。

二、申請方式
（一）檢附應備文件逕向申請人戶籍所在地之里辦公處提出申請。
（二）本項補助每年複查一次。

三、更多資訊：身心障礙者日間照顧及住宿式照顧費用補助"
71,發現有攻擊他人或傷害自己及有危害公共危險之疑似精神科個案該怎麼辦？,請詳閱相關附件：新竹市社區(疑似)精神病人護送就醫流程pdf檔。
72,警政治安-本市績優治安社區如何遴選?作業情形？,"一、由社區向轄區分局申請營造補助（每年辦理申請一次），經市政府轉報內政部核准後，由本市「社區治安專業輔導團隊」進行輔導訪視。
二、由本市「社區治安聯合推動小組」評鑑委員，就當年度參加本市社區治安輔導訪視之社區，依據以下評鑑項目擇優報內政部複審：
（一）治安社區運作模式及願景規劃。
（二）治安社區之具體作法。
（三）治安社區宣導活動之整合度及執行力。
（四）治安社區之具體成果。
（五）其他特殊或具體創新作為。"
73,警政治安-因案通緝失蹤人要如何處理？,"受理失蹤人口報案時，如發現失蹤人為因案通緝，警察機關得告知事由並拒絕受理。
失蹤人口案件，經查明失蹤人為因案通緝者，應聯繫原報案人、家屬或親屬，告知撤尋原因及製作筆錄，並上載相關證明文件後，由戶籍地警察分局逕行辦理撤尋。"
74,身心障礙證明為什麼會有重新鑑定的日期？,後續鑑定日期係由醫生認定，如身心障礙證明載有後續鑑定日期，就表示醫生認為該身心障礙者之障礙狀況必須定期重新評估，如在所定日期後未重新鑑定或經重新鑑定不符合身心障礙條件，就不具有身心障礙資格
75,領取身心障礙者日間照顧及住宿式照顧費用還可不可領取身心障礙者生活補助費？,"(一)領取身心障礙者日間照顧及住宿式照顧費用（住宿式照顧機構）不得同時領取生活補助費，僅能擇一領取。
(二)領取身心障礙者日間照顧及住宿式照顧費用（日 間照顧機構）得同時領取生活補助費。"
76,提出性騷擾案件的申訴及再申訴的期限為多久？,"申訴期間為自事件發生後1年內，如超過申訴期間者，受申訴單位得不受理，並於20日內敘明理由通知當事人。
提出性騷擾案件的「再申訴」期限為多久？

      如受理申訴之機關、部隊、學校、機構或僱用人於2個月內（或經延期合計3個月）未完成調查報告，或對調查報告結果不服者，當事人得於期限屆滿或調查結果通知到達翌日起30日內向直轄市、縣（市）主管機關提出再申訴；如超過30日之再申訴期限者，主管機關得不予受理，並於20日內敘明理由通知當事人。"
